"Banner Slider","Banner Slider"
"Sliders","Sliders"
"Banners","Banners"
"Statistics","Statistics"
"Banner Sliders","Banner Sliders"
"Add New Slider","Add New Slider"
"Add New Banner","Add New Banner"
"New Slider","New Slider"
"Edit Slider","Edit Slider"
"New Banner","New Banner"
"Edit Banner","Edit Banner"
"Slider Information","Slider Information"
"Banner Information","Banner Information"
"General","General"
"Title","Title"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Priority","Priority"
"Higher priority wins when multiple sliders match the same placement.","Higher priority wins when multiple sliders match the same placement."
"Slider Behaviour","Slider Behaviour"
"Autoplay","Autoplay"
"Autoplay Interval (ms)","Autoplay Interval (ms)"
"Transition Effect","Transition Effect"
"Transition Duration (ms)","Transition Duration (ms)"
"Show Arrows","Show Arrows"
"Show Bullets","Show Bullets"
"Loop","Loop"
"Pause on Hover","Pause on Hover"
"Lazy Load Images","Lazy Load Images"
"Defers off-screen slides to protect Core Web Vitals.","Defers off-screen slides to protect Core Web Vitals."
"Visibility","Visibility"
"Store Views","Store Views"
"All Store Views","All Store Views"
"Customer Groups","Customer Groups"
"A/B Testing","A/B Testing"
"Enable A/B Test","Enable A/B Test"
"Split traffic across banner variants and auto-pick a winner.","Split traffic across banner variants and auto-pick a winner."
"Winning Metric","Winning Metric"
"Click-Through Rate (CTR)","Click-Through Rate (CTR)"
"Add to Cart","Add to Cart"
"Revenue","Revenue"
"Banner Name","Banner Name"
"Banner Type","Banner Type"
"Image","Image"
"Video","Video"
"HTML / Rich Content","HTML / Rich Content"
"Product","Product"
"Countdown Timer","Countdown Timer"
"Link","Link"
"Target URL","Target URL"
"Open in New Tab","Open in New Tab"
"Image Content","Image Content"
"Desktop Image","Desktop Image"
"Mobile Image","Mobile Image"
"Optional. Shown on small screens for better performance.","Optional. Shown on small screens for better performance."
"Alt Text","Alt Text"
"Video Content","Video Content"
"Video Provider","Video Provider"
"Video URL / ID","Video URL / ID"
"Full MP4 URL, or the YouTube/Vimeo video ID or URL.","Full MP4 URL, or the YouTube/Vimeo video ID or URL."
"Muted","Muted"
"Content","Content"
"Product ID","Product ID"
"The product whose image, price and add-to-cart will render on the slide.","The product whose image, price and add-to-cart will render on the slide."
"Countdown To","Countdown To"
"Hide When Expired","Hide When Expired"
"Scheduling","Scheduling"
"Active From","Active From"
"Active To","Active To"
"MP4 (self-hosted)","MP4 (self-hosted)"
"YouTube","YouTube"
"Vimeo","Vimeo"
"Slide","Slide"
"Fade","Fade"
"Cube","Cube"
"The slider has been saved.","The slider has been saved."
"The banner has been saved.","The banner has been saved."
"The slider has been deleted.","The slider has been deleted."
"The banner has been deleted.","The banner has been deleted."
"This slider no longer exists.","This slider no longer exists."
"This banner no longer exists.","This banner no longer exists."
